Country,Year,Art,Total,Regulatory_Complexity,Polity2,IntMigStock,Left1_Other0,Liberalisation,MigSpain,MigUS,MigSpainUS,TotalPopinY,MigSpainUSPerc,GrowthGDPperCap,Trade_Perc_GDP,RefugeeAndLikeSit,T,RefAsPerc,GDPperCapPPP,Lib100,x,y,CountryID,South_America,MigSpainUSLog,lag1,lag2,_est_est1,_est_est2,_est_est3,_est_est4,VDEM_Polyarchy,Codified
Argentina,1990,5,57,9,7,5.1,0,,42923,92563,135486,32618651,0.42,-3.87,15,11735,32618651,0.04,-3.874103165,0,-65.14431,-35.177686,Argentina,1,-0.86750054,,,0,0,0,0,0.82800001,1
Argentina,1991,5,57,9,7,5.1,0,,42923,92563,135486,33079000,0.41,7.61,14,11529,33079000,0.03,7.614342819,0,-65.14431,-35.177686,Argentina,1,-0.89159811,9,,1,1,0,0,0.82700002,1
Argentina,1992,5,57,9,7,5.1,0,,42923,92563,135486,33529326,0.4,6.49,15,11515,33529326,0.03,6.487606324,0,-65.14431,-35.177686,Argentina,1,-0.91629076,9,,1,1,0,0,0.82599998,1
Argentina,1993,5,57,9,7,5.1,0,,42923,92563,135486,33970111,0.4,6.8,16,11636,33970111,0.03,6.802920861,0,-65.14431,-35.177686,Argentina,1,-0.91629076,9,9,1,1,1,1,0.82700002,1
Argentina,1994,5,57,9,7,5.1,0,,42923,92563,135486,34402672,0.39,4.51,18,11901,34402672,0.03,4.505472299,0,-65.14431,-35.177686,Argentina,1,-0.94160855,9,9,1,1,1,1,0.84399998,1
Argentina,1995,5,57,9,7,4.6,0,,50810,110347,161157,34828170,0.46,-4.03,20,10314,34828170,0.03,-4.032155953,0,-65.14431,-35.177686,Argentina,1,-0.77652878,9,9,1,1,1,1,0.82999998,1
Argentina,1996,5,57,9,7,4.6,0,,50810,110347,161157,35246374,0.46,4.27,22,10430,35246374,0.03,4.27459837,0,-65.14431,-35.177686,Argentina,1,-0.77652878,9,9,1,1,1,1,0.82300001,1
Argentina,1997,5,57,9,7,4.6,0,,50810,110347,161157,35657429,0.45,6.86,23,10522,35657429,0.03,6.864754271,0,-65.14431,-35.177686,Argentina,1,-0.79850769,9,9,1,1,1,1,0.82700002,1
Argentina,1998,5,57,9,7,4.6,0,,50810,110347,161157,36063459,0.45,2.68,23,2270,36063459,0.01,2.680954121,0,-65.14431,-35.177686,Argentina,1,-0.79850769,9,9,1,1,1,1,0.83499998,1
Argentina,1999,5,57,9,8,4.6,0,,50810,110347,161157,36467218,0.44,-4.46,21,2345,36467218,0.01,-4.455157264,0,-65.14431,-35.177686,Argentina,1,-0.82098055,9,9,1,1,1,1,0.815,1
Argentina,2000,5,57,9,8,4.2,0,,79339,128397,207736,36870787,0.56,-1.87,23,2396,36870787,0.01,-1.874912415,0,-65.14431,-35.177686,Argentina,1,-0.57981849,9,9,1,1,1,1,0.83200002,1
Argentina,2001,5,57,9,8,4.2,0,,79339,128397,207736,37275652,0.56,-5.45,22,2396,37275652,0.01,-5.447091545,0,-65.14431,-35.177686,Argentina,1,-0.57981849,9,9,1,1,1,1,0.83899999,1
Argentina,2002,5,57,9,8,4.2,0,,79339,128397,207736,37681749,0.55,-11.85,42,2439,37681749,0.01,-11.85477684,0,-65.14431,-35.177686,Argentina,1,-0.59783697,9,9,1,1,1,1,0.85900003,1
Argentina,2003,5,57,9,8,4.2,0,,79339,128397,207736,38087868,0.55,7.68,41,2642,38087868,0.01,7.676545539,0,-65.14431,-35.177686,Argentina,1,-0.59783697,9,9,1,1,1,1,0.82300001,1
Argentina,2004,9,57,16,8,4.2,1,0.36,79339,128397,207736,38491972,0.54,7.88,41,2916,38491972,0.01,7.884937565,36,-65.14431,-35.177686,Argentina,1,-0.61618614,9,9,1,1,1,1,0.79000002,1
Argentina,2005,9,57,16,8,4.3,1,0.36,244014,152749,396763,38892931,1.02,7.73,41,3074,38892931,0.01,7.729475205,36,-65.14431,-35.177686,Argentina,1,0.019802628,16,9,1,1,1,1,0.78399998,1
Argentina,2006,40,57,70,8,4.3,1,0.68,244014,152749,396763,39289878,1.01,6.96,40,3158,39289878,0.01,6.955547382,68,-65.14431,-35.177686,Argentina,1,0.009950331,16,9,1,1,1,1,0.82200003,1
Argentina,2007,40,57,70,8,4.3,1,0.68,244014,152749,396763,39684295,1,7.92,41,3263,39684295,0.01,7.924238139,68,-65.14431,-35.177686,Argentina,1,0,70,16,1,1,1,1,0.80000001,1
Argentina,2008,40,57,70,8,4.3,1,0.68,244014,152749,396763,40080160,0.99,3.03,40,2845,40080160,0.01,3.029477312,68,-65.14431,-35.177686,Argentina,1,-0.010050336,70,16,1,1,1,1,0.78299999,1
Argentina,2009,40,57,70,8,4.3,1,0.68,244014,152749,396763,40482788,0.98,-6.85,34,3230,40482788,0.01,-6.854227333,68,-65.14431,-35.177686,Argentina,1,-0.020202707,70,70,1,1,1,1,0.78600001,1
Argentina,2010,42,57,74,8,4.4,1,0.71,282553,182404,464957,40788453,1.14,9.3,35,3276,40788453,0.01,9.300128322,71,-65.14431,-35.177686,Argentina,1,0.13102826,70,70,1,1,1,1,0.75400001,1
Argentina,2011,42,57,74,8,4.4,1,0.71,282553,182404,464957,41261490,1.13,4.79,35,3361,41261490,0.01,4.788683139,71,-65.14431,-35.177686,Argentina,1,0.12221763,74,70,1,1,1,1,0.77100003,1
Argentina,2012,42,57,74,8,4.4,1,0.71,282553,182404,464957,41733271,1.11,-2.15,31,3488,41733271,0.01,-2.14528445,71,-65.14431,-35.177686,Argentina,1,0.10436001,74,70,1,1,1,1,0.78100002,1
Argentina,2013,42,57,74,8,4.4,1,0.71,282553,182404,464957,42202935,1.1,1.27,29,3362,42202935,0.01,1.265685175,71,-65.14431,-35.177686,Argentina,1,0.095310181,74,74,1,1,1,1,0.778,1
Argentina,2014,42,57,74,8,4.4,1,0.71,282553,182404,464957,42669500,1.09,-3.58,28,3498,42669500,0.01,-3.57858051,71,-65.14431,-35.177686,Argentina,1,0.086177699,74,74,1,1,1,1,0.792,1
Argentina,2015,42,57,74,9,4.8,1,0.71,251841,199314,451155,43131966,1.05,1.63,22,3207,43131966,0.01,1.629664279,71,-65.14431,-35.177686,Argentina,1,0.048790164,74,74,1,1,1,1,0.81099999,1
Argentina,2016,42,57,74,9,4.8,0,0.71,251841,199314,451155,43590368,1.03,-3.11,26,3293,43590368,0.01,-3.110063898,71,-65.14431,-35.177686,Argentina,1,0.029558802,74,74,1,1,1,1,0.78100002,1
Argentina,2017,42,57,74,9,4.8,0,0.71,251841,199314,451155,44044811,1.02,1.61,25,3299,44044811,0.01,1.609282344,71,-65.14431,-35.177686,Argentina,1,0.019802628,74,74,1,1,1,1,0.78799999,1
Argentina,2018,42,57,74,9,4.8,0,0.71,251841,199314,451155,44494502,1.01,-3.5,31,3402,44494502,0.01,-3.499841931,71,-65.14431,-35.177686,Argentina,1,0.009950331,74,74,1,1,1,1,0.81900001,1
Bolivia,1990,12,57,21,9,1.1,1,0.62,1806,31303,33109,6864842,0.48,2.45,47,200,6864842,0,2.445059947,62,-64.67094,-16.714615,Bolivia,1,-0.73396915,,,0,0,0,0,0.69400001,1
Bolivia,1991,12,57,21,9,1.1,1,0.62,1806,31303,33109,7011453,0.47,3.07,48,341,7011453,0,3.065381596,62,-64.67094,-16.714615,Bolivia,1,-0.75502259,21,,1,1,0,0,0.72000003,1
Bolivia,1992,12,57,21,9,1.1,1,0.62,1806,31303,33109,7160920,0.46,-0.48,49,491,7160920,0.01,-0.475129472,62,-64.67094,-16.714615,Bolivia,1,-0.77652878,21,,1,1,0,0,0.76599997,1
Bolivia,1993,12,57,21,9,1.1,1,0.62,1806,31303,33109,7312850,0.45,2.1,47,669,7312850,0.01,2.10302011,62,-64.67094,-16.714615,Bolivia,1,-0.79850769,21,21,1,1,1,1,0.77399999,1
Bolivia,1994,12,57,21,9,1.1,0,0.62,1806,31303,33109,7466793,0.44,2.51,49,734,7466793,0.01,2.509343516,62,-64.67094,-16.714615,Bolivia,1,-0.82098055,21,21,1,1,1,1,0.76499999,1
